phase,dow_name,distance_km,speeding_sum,harsh_brake_sum,rapid_accel_sum,swerve_sum,total_events_sum,rate_events_per_km
post,Friday,227.51271977573026,0,125,83,81,289,1.2702586487686516
post,Monday,200.68584439713453,0,99,82,49,230,1.146069871997828
post,Saturday,197.1770323454602,0,109,79,47,235,1.1918223801455374
post,Sunday,198.14995997115415,0,96,72,54,222,1.1203635874179225
post,Thursday,284.03112038428065,0,127,93,84,304,1.0703052524269256
post,Tuesday,209.60080819377825,0,102,77,53,232,1.1068659610582867
post,Wednesday,262.09327120062926,0,133,90,77,300,1.1446306829081223
pre,Friday,220.55945881975643,0,121,103,72,296,1.342041740508143
pre,Monday,271.62968555692464,0,157,137,88,382,1.40632640801679
pre,Saturday,246.70084998894504,0,146,143,91,380,1.5403270804175513
pre,Sunday,271.41973596968023,0,145,140,121,406,1.495838165745447
pre,Thursday,277.2694218742824,0,153,158,81,392,1.4137873457165355
pre,Tuesday,267.89638585604376,0,149,151,91,391,1.4595195032235595
pre,Wednesday,194.4291985199828,0,105,114,71,290,1.4915455199502596
