phase,week_start,distance_km,speeding_sum,harsh_brake_sum,rapid_accel_sum,swerve_sum,total_events_sum,rate_events_per_km,rate_speeding_per_km,rate_harsh_brake_per_km,rate_rapid_accel_per_km,rate_swerve_per_km,rate_total_events_per_km
post,2025-04-08,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
post,2025-04-15,24.458642253730396,0,15,9,3,27,1.1039042854425822,0.0,0.6132801585792123,0.3679680951475274,0.12265603171584247,1.1039042854425822
post,2025-04-22,148.11247887809964,0,76,54,38,168,1.1342730961802907,0.0,0.5131235435101316,0.3645877809150935,0.2565617717550658,1.1342730961802907
post,2025-04-29,179.74946609830153,0,92,63,56,211,1.1738560596592156,0.0,0.5118234952068618,0.35048782823948144,0.31154473621287243,1.1738560596592156
post,2025-05-06,134.93209761006148,0,67,48,47,162,1.2006038805396897,0.0,0.4965460493590075,0.35573448312287104,0.34832334805781123,1.2006038805396897
post,2025-05-13,145.2371812334964,0,73,52,47,172,1.1842697478648894,0.0,0.5026261139194007,0.35803504005217585,0.32360859389331276,1.1842697478648894
post,2025-05-20,171.43216943401947,0,94,53,55,202,1.1783086025621663,0.0,0.5483218249546714,0.3091601778999743,0.32082659970752053,1.1783086025621663
post,2025-05-27,179.2849906283443,0,85,64,49,198,1.104386927796157,0.0,0.47410549930643114,0.3569735524189599,0.2733078760707662,1.104386927796157
post,2025-06-03,154.28110765957243,0,74,61,39,174,1.127811451703718,0.0,0.4796439507245698,0.3953821755972805,0.2527853253818679,1.127811451703718
post,2025-06-10,128.98504173773887,0,64,56,23,143,1.108655686531135,0.0,0.49618156599994856,0.43415887024995503,0.17831525028123152,1.108655686531135
post,2025-06-17,141.4569261314611,0,71,55,33,159,1.1240170725344016,0.0,0.5019195732700787,0.3888109370402018,0.23328656222412109,1.1240170725344016
post,2025-06-24,171.32065460334175,0,80,61,55,196,1.1440535319795402,0.0,0.4669606252977715,0.3560574767895508,0.3210354298922179,1.1440535319795402
pre,2024-12-31,97.0033358526657,0,46,35,32,113,1.1649083921364412,0.0,0.47421049591394954,0.3608123338475703,0.3298855623749214,1.1649083921364412
pre,2025-01-07,140.4669857820475,0,65,64,49,178,1.2672016773833945,0.0,0.46274218556135194,0.4556230750142542,0.3488364168077884,1.2672016773833945
pre,2025-01-14,135.15859639795255,0,65,64,43,172,1.2725790632922371,0.0,0.4809165064767175,0.47351779099246033,0.3181447658230593,1.2725790632922371
pre,2025-01-21,98.3729307776218,0,64,60,32,156,1.5858020978621428,0.0,0.6505854760460072,0.6099238837931318,0.3252927380230036,1.5858020978621428
pre,2025-01-28,114.62693815506074,0,69,63,30,162,1.4132803563230112,0.0,0.6019527443598011,0.5496090274589488,0.26171858450426133,1.4132803563230112
pre,2025-02-04,92.33949643019457,0,36,48,36,120,1.299552246212603,0.0,0.3898656738637809,0.5198208984850412,0.3898656738637809,1.299552246212603
pre,2025-02-11,104.72631793162748,0,56,59,40,155,1.4800482157808186,0.0,0.5347270973143603,0.5633731918133439,0.3819479266531145,1.4800482157808186
pre,2025-02-18,78.0836812325496,0,55,37,32,124,1.5880398828879747,0.0,0.7043725287003113,0.4738506102165731,0.40981674397109025,1.5880398828879747
pre,2025-02-25,139.1500832834457,0,62,78,35,175,1.2576348922733218,0.0,0.4455620761196912,0.5605458376989664,0.2515269784546644,1.2576348922733218
pre,2025-03-04,127.03971326909306,0,64,85,50,199,1.566439303735534,0.0,0.5037794745682119,0.6690821146609065,0.39357771450641554,1.566439303735534
pre,2025-03-11,134.63734434992685,0,86,62,45,193,1.4334804428286012,0.0,0.6387529434365787,0.4604963080589289,0.33423119133309354,1.4334804428286012
pre,2025-03-18,150.05545370485413,0,85,80,54,219,1.459460450073036,0.0,0.5664572523114523,0.5331362374696021,0.35986696029198145,1.459460450073036
pre,2025-03-25,102.97313226094263,0,72,58,43,173,1.6800498945841849,0.0,0.6992115168211637,0.5632537218837151,0.41758465587930604,1.6800498945841849
pre,2025-04-01,111.50297162650817,0,68,73,42,183,1.64121186485486,0.0,0.6098492175416965,0.6546910717727037,0.37667157554045966,1.64121186485486
pre,2025-04-08,119.58561921235868,0,80,76,50,206,1.7226151552068123,0.0,0.6689767593036164,0.6355279213384356,0.41811047456476025,1.7226151552068123
pre,2025-04-15,4.182136318766033,0,3,4,2,9,2.1520101962280154,0.0,0.7173367320760051,0.9564489761013402,0.4782244880506701,2.1520101962280154
