phase,type,count,distance_km,rate_per100km
pre,speeding,0,1749.9047365856152,0.0
pre,harsh_brake,976,1749.9047365856152,55.774464723397166
pre,rapid_accel,946,1749.9047365856152,54.060085684768154
pre,swerve,615,1749.9047365856152,35.14477029189473
pre,total_events,2537,1749.9047365856152,144.97932070006004
post,speeding,0,1579.2507562681672,0.0
post,harsh_brake,791,1579.2507562681672,50.08704265997407
post,rapid_accel,576,1579.2507562681672,36.472991873761146
post,swerve,445,1579.2507562681672,28.177919069138383
post,total_events,1812,1579.2507562681672,114.7379536028736
