driver_id,post_bad_day_share
04618512580e479ca2447d2d6e3e5a01,0.0
06fc09066ff54ee0b0298ef00f80d42d,0.0
0f67d8169e91426a88b8a32e5eb5dce0,0.14285714285714285
17dec2934ccd42d7b02d4264290dec04,0.2222222222222222
1e1f0a5baf04452ba71ce31f721700a7,0.2
24f36baf8aab424092875a3c5518c34c,0.0
27efe841acc44f5099a1160226e06ccb,0.0
348ab9962ece4e55b0ce9aa04adaf71b,0.0
3851f86078c147048498bac873d32bb9,0.0
39db2e32f4444b148643a4108c7fc103,0.0
3e5ec44cde6d4304ab58443d90368274,0.05263157894736842
3e7365e2a1894d95b115a245ed9af0ec,0.1111111111111111
3ff40565ba464936b28420c370651622,0.2
40eac30faba0435da0d7213f8cfc9c32,0.0
43b16573fdbc466184844ca9d858b626,0.25
446b1e2317304addbacd77c47114dac3,0.3333333333333333
54767952a9c2411ab0d1686941ebbd26,0.0
58a1c1708edb4a75be19901e378e0285,0.5
5952789bad7b454e96bce0fed9c90344,0.0
61766dd5d46f40f499602f7f5fb97620,0.0
63abe8bd8a454c878093476d92bbefc4,0.2
6651a7b1ae6342e0bca120ed8da2207e,0.5555555555555556
6900c77cf75e4db28adbac15140e3931,0.6
6d3af7163bb74225818446ad551185a6,0.0
7c9d6a121cef4c908c451171d246a97d,0.0
80be0493a84549a69b4069f25939d72b,0.0
8c8b69c30829410ba97add4d99084ca2,0.14285714285714285
8d3cc8f598564bd5b108ae140e61e94d,0.0
8d7f675ff2624ffb9465426c5eb78be3,0.0
9aafce90055a47a18e0c79089469f85a,0.42857142857142855
a3b15fad27184a99ae226cc8dba8efcb,0.14285714285714285
a4df00ef510a44b59fcf6e1910eb6fd2,0.3333333333333333
b32c79530f6049bd94d61b63a5412020,0.0
b52a27b2f0da4fefa31d352987994498,0.0
b69a8ff4e1334b9daa098dda8d1c9f13,0.0
b9c40703dcfd40fbafcac4dc20a63295,0.0
ba9e2cf437e640f2aa38c5cb08ae028f,0.1111111111111111
be38347662f84cfaaf138568c7af23dc,0.0
c24fe9f453af4415b33f95cce2f5b6be,0.8888888888888888
c8c0ef6adf474887bd7c089f111f50a5,0.16666666666666666
c9b8af1f0749489b976e32ed54081f5b,0.2857142857142857
cb97d355264744fa81623e52507508a8,0.125
ccb1eb9bc89a47399d56c685a660e62a,0.14285714285714285
d146883c489d426a9c60d213372852c1,0.375
d445010c29f14ccdb0f8b06d2c796c9a,0.2
d5063378b07548a2854773eaea2e9375,1.0
defc65ca43d64c62845ea1d40df07d1b,0.125
e39a0bdcbfb5443686624508bd8b119f,0.25
e95be163176b4df699e16c8619b791a1,0.0
eaba5b5556044f659394037fb4712484,0.3333333333333333
f2cecf111d2646248776c284ed8266cc,0.375
fab5202d978a4f2bb68c23bbd5037da8,0.0
fde2feb5cf7b4ac3a7a7b937a80f78b5,0.125
ff33bebe43c54354babd0cc0fa57a873,0.16666666666666666
